dim,soft_layer_1,soft_layer_3,soft_layer_6,soft_layer_9,soft_layer_12,hard_selected_layer
104,0.21669210493564606,0.23023779690265656,0.16739092767238617,0.19195932149887085,0.19371983408927917,1
105,0.23615151643753052,0.2015930712223053,0.16320304572582245,0.18108081817626953,0.2179715633392334,6
106,0.21128764748573303,0.20823749899864197,0.18311302363872528,0.20482228696346283,0.19253955781459808,3
107,0.19428740441799164,0.21117201447486877,0.21375352144241333,0.18306297063827515,0.1977240890264511,1
108,0.17448082566261292,0.19709628820419312,0.24710234999656677,0.19444261491298676,0.18687795102596283,9
109,0.20097136497497559,0.20697391033172607,0.19879284501075745,0.18792930245399475,0.20533259212970734,9
110,0.18237756192684174,0.25094127655029297,0.19466455280780792,0.16411173343658447,0.2079049050807953,12
111,0.19876094162464142,0.19574959576129913,0.20755381882190704,0.18629524111747742,0.21164032816886902,6
112,0.18445993959903717,0.2165832817554474,0.19219745695590973,0.17656438052654266,0.23019492626190186,9
113,0.1906559318304062,0.2335822582244873,0.20521333813667297,0.17524121701717377,0.19530731439590454,1
114,0.16076382994651794,0.15818104147911072,0.2529674470424652,0.22521613538265228,0.20287156105041504,9
115,0.20475880801677704,0.1902247965335846,0.24378202855587006,0.1616651713848114,0.1995692402124405,6
116,0.22500672936439514,0.22196698188781738,0.20352916419506073,0.1741083264350891,0.17538881301879883,6
117,0.21005301177501678,0.2166590839624405,0.1843094825744629,0.1758279651403427,0.21315045654773712,12
118,0.1764218807220459,0.19397906959056854,0.24158638715744019,0.18710073828697205,0.20091192424297333,6
119,0.2151062935590744,0.16802836954593658,0.1975431740283966,0.2351950854063034,0.1841270923614502,1
120,0.1654035747051239,0.18110936880111694,0.23855356872081757,0.2467263787984848,0.168207049369812,12
121,0.19499221444129944,0.17594648897647858,0.21346284449100494,0.20361174643039703,0.21198664605617523,6
122,0.22557687759399414,0.22788739204406738,0.1825067698955536,0.16505199670791626,0.19897696375846863,12
123,0.1758398860692978,0.18546201288700104,0.2020847648382187,0.21927909553050995,0.21733428537845612,3
124,0.17208543419837952,0.2041064202785492,0.19725920259952545,0.24274545907974243,0.183803528547287,3
125,0.195036381483078,0.22217164933681488,0.2165248692035675,0.1598922312259674,0.2063749134540558,3
126,0.19975252449512482,0.21668459475040436,0.20957663655281067,0.18268319964408875,0.1913031041622162,3
127,0.25001704692840576,0.21924377977848053,0.16137534379959106,0.16152697801589966,0.20783677697181702,12
128,0.1803060919046402,0.18006794154644012,0.17914098501205444,0.2630528509616852,0.19743214547634125,12
129,0.212432861328125,0.19556739926338196,0.19975781440734863,0.17711308598518372,0.21512886881828308,12
130,0.19595161080360413,0.19587738811969757,0.16132913529872894,0.20486122369766235,0.24198055267333984,12
131,0.17011238634586334,0.20401297509670258,0.20505225658416748,0.20739269256591797,0.21342968940734863,1
132,0.16574904322624207,0.19436722993850708,0.2164473831653595,0.24454738199710846,0.1788889616727829,6
133,0.19485989212989807,0.19319303333759308,0.1979610174894333,0.2036912590265274,0.21029479801654816,9
